key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
308,False,FSH,1,0,RetainerTaskParameter#1,1,60,500,0,0,0,0,0,Crayfish
309,False,FSH,4,0,RetainerTaskParameter#4,1,60,1400,0,0,0,0,0,Finger Shrimp
310,False,FSH,5,0,RetainerTaskParameter#5,1,60,1400,0,0,0,0,0,White Coral
311,False,FSH,5,0,RetainerTaskParameter#5,1,60,1400,0,0,0,0,0,Princess Trout
312,False,FSH,6,0,RetainerTaskParameter#6,1,60,3000,0,0,0,0,0,Dusk Goby
313,False,FSH,7,0,RetainerTaskParameter#7,1,60,3000,0,0,0,0,0,Pipira
314,False,FSH,8,0,RetainerTaskParameter#8,1,60,5000,0,0,0,0,0,Crimson Crayfish
315,False,FSH,9,0,RetainerTaskParameter#9,1,60,5000,0,0,0,0,0,Coral Butterfly
316,False,FSH,10,0,RetainerTaskParameter#10,1,60,7400,0,72,0,21,0,Brass Loach
317,False,FSH,11,0,RetainerTaskParameter#11,1,60,7400,0,72,0,24,0,Maiden Carp
318,False,FSH,14,0,RetainerTaskParameter#14,1,60,13100,0,72,0,31,0,Tiger Cod
319,False,FSH,16,0,RetainerTaskParameter#16,1,60,17400,0,72,0,35,0,Helmet Crab
320,False,FSH,17,0,RetainerTaskParameter#17,1,60,17400,0,72,0,38,0,Rothlyt Oyster
321,False,FSH,18,0,RetainerTaskParameter#18,1,60,21900,0,72,0,40,0,Navigator's Dagger
322,False,FSH,19,0,RetainerTaskParameter#19,1,60,21900,0,72,0,43,0,Bluebell Salmon
323,False,FSH,20,0,RetainerTaskParameter#20,1,60,24900,0,72,0,45,0,Razor Clam
324,False,FSH,21,0,RetainerTaskParameter#21,1,60,24900,0,72,0,56,0,Blowfish
325,False,FSH,23,0,RetainerTaskParameter#23,1,60,26100,0,72,0,55,0,Warmwater Trout
326,False,FSH,24,0,RetainerTaskParameter#24,1,60,27200,0,72,0,56,0,Black Eel
327,False,FSH,25,0,RetainerTaskParameter#25,1,60,27200,0,72,0,57,0,Dark Bass
328,False,FSH,26,0,RetainerTaskParameter#26,1,60,32100,0,72,0,59,0,Blue Coral
329,False,FSH,27,0,RetainerTaskParameter#27,1,60,32100,0,72,0,60,0,Bianaq Bream
330,False,FSH,28,0,RetainerTaskParameter#28,1,60,34500,0,72,0,62,0,Black Sole
331,False,FSH,29,0,RetainerTaskParameter#29,1,60,34500,0,72,0,63,0,Hammerhead Shark
332,False,FSH,31,0,RetainerTaskParameter#31,1,60,35200,0,72,0,71,0,Indigo Herring
333,False,FSH,32,0,RetainerTaskParameter#32,1,60,38600,0,72,0,72,0,Ash Tuna
334,False,FSH,34,0,RetainerTaskParameter#34,1,60,40800,0,72,0,75,0,Fullmoon Sardine
335,False,FSH,36,0,RetainerTaskParameter#36,1,60,44800,0,72,0,85,0,Whitelip Oyster
336,False,FSH,38,0,RetainerTaskParameter#38,1,60,49000,0,72,0,89,0,Velodyna Carp
