BTN,170x Upland Wheat
BTN,14x Tiger Lily
BTN,402x Thavnairian Perilla Leaf
BTN,100x Thavnairian Paprika
BTN,14x Sweet Alyssum
BTN,402x Palm Syrup
BTN,14x Lime Basil
BTN,14x Light Gerbera
BTN,170x Gianthive Chip
BTN,100x Giant Popoto
BTN,170x Frantoio
BTN,14x Fernleaf Lavender
BTN,200x Bomba Rice
BTN,200x Blood Tomato
BTN,100x Alien Onion
MIN,70x Underground Spring Water
MIN,204x Sharlayan Rock Salt
MIN,100x Ambrosial Water
Disciples of War or Magic,670x Ovibos Milk
Disciples of War or Magic,35x Lunatender Blossom
